País;Año;V1;V2;V3;V4;V5
Argentina;1993;3426,48377;6232,425839;-6130,641706;5464,860109;384,7700037
Argentina;1994;3651,60304;6659,83331;-6452,303737;5941,138003;426,0365131
Argentina;1995;3590,168455;6347,028092;-6082,129146;5789,731001;405,6646208
Argentina;1996;3708,527826;6603,849228;-6461,286738;5889,979018;406,2106542
Argentina;1997;4049,144245;7231,156159;-6990,502588;6536,742384;449,6026606
Argentina;1998;4222,5431;7561,444613;-7232,481414;6910,21257;477,6503747
Argentina;1999;4114,750653;7250,343582;-6996,0611;6590,09784;450,4276171
Argentina;2000;4058,427642;7098,105198;-6868,219652;6436,618344;444,6332406
Argentina;2001;3810,814856;6598,348512;-6558,581844;5828,926647;392,1240061
Argentina;2002;3780,511611;6623,87097;-6535,189382;5851,179709;398,9147167
Argentina;2003;4052,644554;6894,605151;-6588,422923;6412,9571;423,0425454
Argentina;2004;4151,878331;7033,672711;-6793,284297;6476,79299;422,4356653
Argentina;2005;4294,656735;7168,358494;-6949,521302;6609,428221;417,7970381
Argentina;2006;4506,18333;7466,788926;-7246,867103;6890,157524;430,1137874
Argentina;2007;4779,899333;8015,383223;-7813,591191;7322,124433;468,9360534
Argentina;2008;4969,598929;8308,546156;-7979,75929;7719,02509;500,1292561
Bolivia;1993;1320,027684;2309,206824;-2266,595844;1798,882088;153,6731089
Bolivia;1994;1383,115548;2414,191254;-2334,885198;1930,742794;164,0489951
Bolivia;1995;1426,268633;2476,420119;-2361,402596;2024,82158;176,8150302
Bolivia;1996;1463,936539;2538,951676;-2405,54426;2095,07766;189,8576225
Bolivia;1997;1496,663927;2569,830104;-2388,460201;2159,968208;184,8681143
Bolivia;1998;1516,481574;2594,485649;-2449,291896;2141,202569;197,3037091
Bolivia;1999;1476,603918;2502,479819;-2381,112677;2042,497341;200,4995179
Bolivia;2000;1491,018901;2503,202175;-2348,202877;2078,216041;200,3192856
Bolivia;2001;1468,001129;2483,175513;-2383,565138;1994,55449;182,445637
Bolivia;2002;1498,260967;2541,200645;-2464,459831;2007,799397;174,3687246
Bolivia;2003;1446,784913;2404,441125;-2339,221238;1911,629405;164,4190164
Bolivia;2004;1476,802141;2433,006875;-2382,169416;1935,80932;161,5876539
Bolivia;2005;1529,147464;2498,383367;-2411,757589;2019,115911;171,0900523
Bolivia;2006;1566,081451;2546,498014;-2464,642401;2075,839681;176,3531314
Bolivia;2007;1607,511703;2600,474823;-2498,818151;2143,982908;176,0804724
Bolivia;2008;1685,368167;2702,760704;-2566,801369;2258,464745;194,1233016
Brazil;1993;2203,117098;3563,334552;-3759,12899;2877,528616;221,4702991
Brazil;1994;2268,989113;3716,563444;-3939,924213;3020,708921;223,02496
Brazil;1995;2353,084339;3829,789269;-4024,855662;3174,100096;236,6456829
Brazil;1996;2445,991571;4002,932901;-4208,715275;3316,140892;247,9896871
Brazil;1997;2528,072824;4113,240774;-4317,912724;3433,943125;249,9271259
Brazil;1998;2534,50655;4068,478041;-4287,498437;3395,513674;243,246155
Brazil;1999;2549,187428;4031,723662;-4229,835645;3388,795583;247,5002703
Brazil;2000;2565,800185;3981,876095;-4180,556853;3370,041129;247,2047431
Brazil;2001;2547,727918;4015,138475;-4186,429561;3381,409116;252,1707096
Brazil;2002;2543,789522;3961,171866;-4157,563975;3322,290556;240,6484561
Brazil;2003;2565,905277;3937,121388;-4149,938908;3309,19724;230,4541481
Brazil;2004;2619,650211;3963,128396;-4193,058419;3334,444102;224,5530611
Brazil;2005;2663,739878;3972,55528;-4205,53224;3361,972573;221,6793203
Brazil;2006;2723,026799;4029,119343;-4276,073962;3409,061218;217,4677351
Brazil;2007;2841,008121;4205,341927;-4443,129013;3575,362574;222,998853
Brazil;2008;3008,379069;4275,405956;-4548,234182;3687,689663;224,6006455
Chile;1993;3230,968655;5583,341759;-5310,974475;5081,924414;319,9495153
Chile;1994;3330,649638;5777,362212;-5525,757318;5227,551818;330,8452668
Chile;1995;3609,362277;6308,460236;-6033,088218;5723,816467;357,5274414
Chile;1996;3803,441855;6625,532531;-6344,59893;6023,943378;380,2443141
Chile;1997;4008,73573;6947,203555;-6638,426106;6365,590544;399,2359412
Chile;1998;4065,075013;7021,898824;-6767,84579;6380,255768;399,2776661
Chile;1999;4097,38555;6826,848429;-6669,288545;6172,281067;353,9431998
Chile;2000;4292,965577;7070,856421;-6814,293125;6517,209207;366,9091793
Chile;2001;4259,214196;6942,277331;-6799,199367;6307,638953;349,4662911
Chile;2002;4280,793049;6942,391246;-6862,024451;6258,015135;341,908229
Chile;2003;4358,368257;7004,113382;-6944,237856;6310,846255;337,1307269
Chile;2004;4544,457976;7268,673318;-7225,854101;6567,767059;347,3934623
Chile;2005;4656,043201;7435,941058;-7328,070155;6793,590583;361,6429354
Chile;2006;4588,37246;7152,01105;-7108,052774;6539,202779;335,2434561
