"";"eigenvalue";"percentage of variance";"cumulative percentage of variance"
"comp 1";10,2701273175579;20,9594435052202;20,9594435052202
"comp 2";6,40855638452877;13,0786864990383;34,0381300042585
"comp 3";4,1142572444005;8,3964433559194;42,4345733601779
"comp 4";3,24438118275106;6,62118608724707;49,055759447425
"comp 5";2,72228689104007;5,55568753273485;54,6114469801598
"comp 6";2,49712911517113;5,09618186769619;59,707628847856
"comp 7";1,98277353018749;4,04647659221937;63,7541054400754
"comp 8";1,86864230975754;3,81355573419907;67,5676611742745
"comp 9";1,66876081758242;3,40563432159677;70,9732954958712
"comp 10";1,64887259119191;3,36504610447329;74,3383416003445
"comp 11";1,50024197893487;3,06171832435688;77,4000599247014
"comp 12";1,26939278422283;2,5905975188221;79,9906574435235
"comp 13";1,16741809125341;2,38248590051716;82,3731433440407
"comp 14";1,03320883728836;2,1085894638538;84,4817328078945
"comp 15";0,929153802361051;1,89623224971643;86,3779650576109
"comp 16";0,769704557015268;1,57082562656177;87,9487906841727
"comp 17";0,680698073762391;1,38917974237223;89,3379704265449
"comp 18";0,576235194343332;1,17599019253741;90,5139606190823
"comp 19";0,508497993711087;1,03775100757365;91,551711626656
"comp 20";0,462143502696678;0,943150005503425;92,4948616321594
"comp 21";0,445491450014975;0,909166224520358;93,4040278566797
"comp 22";0,414597753785182;0,846117864867718;94,2501457215475
"comp 23";0,379532105647531;0,774555317648023;95,0247010391955
"comp 24";0,317178748947652;0,647303569280922;95,6720046084764
"comp 25";0,265443159377717;0,541720733423912;96,2137253419003
"comp 26";0,223956497290371;0,457054076102798;96,6707794180031
"comp 27";0,18229824004858;0,372037224588939;97,0428166425921
"comp 28";0,170807809154707;0,348587365621851;97,3914040082139
"comp 29";0,166659864241892;0,340122171922228;97,7315261801361
"comp 30";0,151855554459281;0,30990929481486;98,041435474951
"comp 31";0,132830904809499;0,271083479203059;98,3125189541541
"comp 32";0,121081484666635;0,247105070748235;98,5596240249023
"comp 33";0,109463144806707;0,223394173074912;98,7830181979772
"comp 34";0,0929212101469662;0,189635122748911;98,9726533207261
"comp 35";0,0820145717860375;0,167376677114362;99,1400299978405
"comp 36";0,06730303383137;0,137353130268102;99,2773831281086
"comp 37";0,0598840789444524;0,122212406009087;99,3995955341177
"comp 38";0,0506152136917426;0,103296354472944;99,5028918885906
"comp 39";0,0453945083029175;0,0926418536794235;99,59553374227
"comp 40";0,0415884253830314;0,0848743375163906;99,6804080797864
"comp 41";0,0362500900445671;0,0739797756011574;99,7543878553876
"comp 42";0,030080583922101;0,061388946779798;99,8157768021674
"comp 43";0,0279639053953495;0,0570691946843867;99,8728459968518
"comp 44";0,022909964319856;0,046755029224196;99,919601026076
"comp 45";0,0195884691064921;0,0399764675642695;99,9595774936402
"comp 46";0,0165060255401347;0,0336857664084381;99,9932632600487
"comp 47";0,00177380222321764;0,00362000453717886;99,9968832645858
"comp 48";0,00149420075149827;0,00304938928877198;99,9999326538746
"comp 49";3,29996014378689e-05;6,73461253834059e-05;100
