country;year;ec8contt;ec9contc;ec14credg;ec15finaf;ec16openi;ec21grokg;ec22grosa;ec23grofkf;ec24grofkp;ec26hwork;ec27laboe;ec28laboh;in1fdiif;in2fdiof;in4fdiis;in5fdios;i7roadp;i8carrd;sc8ginii;di1royag;di2tradmc;di6patecap;di7articap;di17royarg;di18patnrc;di19tradnrc;di20htexp;es1enrop;es2enros;es3enrot;es10schom;es12educe;es14teacr;es19unemp;es20unems;es21unemt;i3teler;i4elecc;i5inteu;i6telecap;in6expog;in7impog;is6empla;is7empli;is8empls;is17valua;is18valui;is19valum;is20valus;is6empla;is7empli;is8empls;is17valua;is18valui;is19valum;is20valus;in6expog;in7impog
Argentina;1985;-492,8;-8,429092677;32,57300186;84,26666667;0,138515905;17,58906746;23,05183792;15,71726967;15,45829787;1910,971069;25005,51953;13,08524036;1,042530537;0,048041541;5,126038074;6,717248917;27,94736751;3,32481885;39,79999924;0,004750235;1247,371922;0,363910516;3,94E-05;0,009048068;125,2305642;245,5636316;7,714559171;105,0464172;70,18476105;25,05599566;7,841100216;1,394970775;-19,97819519;59,0182173;21,30717501;2,728471887;2,297096995;1288,408691;0;89,68389893;11,73609829;6,273326874;0,632466587;30,77590936;58,2627295;7,634307384;39,27615356;29,64184761;53,08953857;0,632466587;30,77590936;58,2627295;7,634307384;39,27615356;29,64184761;53,08953857;11,73609829;6,273326874
Argentina;1986;-519;-9,363751197;32,86968613;83,93333333;0,109344862;17,46176338;19,29968643;14,83328112;15,05890511;1898,608887;27068,48047;14,25701046;0,54216224;0,010578576;4,810176849;5,603458405;29,68545156;3,335881233;42,17147446;0,003786035;1912,506714;0,554349754;4,76E-05;0,01442299;95,14304977;235,3051758;8,543001542;108,2556356;67,86748732;28,31455828;7,960555697;2,335473887;-19,10092003;59,86292729;23,31660157;1,823875655;2,50855285;1337,613403;0;93,23540497;8,161977768;6,324055195;1,1623593;29,95406993;62,57837862;7,800402641;37,38043594;27,41959763;54,81916428;1,1623593;29,95406993;62,57837862;7,800402641;37,38043594;27,41959763;54,81916428;8,161977768;6,324055195
Argentina;1987;-528,4666667;-9,55898485;47,5856781;85,66666667;0,111929975;19,55486679;19,85230827;18,05716826;17,12464756;1886,32666;26666,15039;14,13654995;-0,017461488;0,044233583;4,662813187;5,496366978;28,74065231;3,592896938;43,29999924;0,002520116;1726,293823;0,578462846;4,74E-05;0,01260058;112,6851005;244,5933685;9,30314589;108,0547046;66,73455984;30,15532355;7,976440801;3,013912671;-19,33628759;58,55955362;24,70247508;2,776037198;2,466832313;1437,833618;0;95,31685638;7,873205662;7,575764179;1,137698876;29,86046889;63,29969516;8,094358444;37,82867432;27,49664688;54,07696533;1,137698876;29,86046889;63,29969516;8,094358444;37,82867432;27,49664688;54,07696533;7,873205662;7,575764179
Argentina;1988;-528,2;-11,79350689;42,67446899;83,06666667;0,113927603;18,64003944;21,95980644;16,22355819;16,20964738;1874,123779;25778,2793;13,7548399;0,903930843;-0,017871438;4,902385235;4,695372105;29,29707818;3,363393307;45,20000076;0,002281965;1433,305908;0,506725939;4,51E-05;0,004754094;122,2712947;258,588562;9,118718551;107,107444;67,89846624;32,68683376;7,898793877;3,123844744;-20,06263567;57,59702637;24,09825167;3,601924909;2,425100957;1437,423096;0;100,5773697;9,53161335;6,211845398;0,830494343;29,32784287;64,54446465;8,97786808;38,48661041;27,99967575;52,53552246;0,830494343;29,32784287;64,54446465;8,97786808;38,48661041;27,99967575;52,53552246;9,53161335;6,211845398
Argentina;1989;-518,1333333;-11,16142109;80,05567932;80,93333333;0,179873779;15,51469803;21,99386978;13,34439267;13,32231031;1862;23786,00977;12,77443981;1,341513753;0,084041096;9,459300995;7,859038353;28,50000033;3,171364546;47,59999847;0,005258563;1298,66748;0,624284326;4,74E-05;0,009133981;109,3433307;257,1115112;8,505776124;107,1931294;68,55643263;30,68304846;8,155260905;2,883919344;-19,37959781;55,39328983;29,44304121;2,072148924;2,846283565;1324,949829;0;96,33644104;13,05840874;6,579388618;1,548167143;29,95594098;66,82948073;9,616065025;42,34781265;30,94937134;48,03609085;1,548167143;29,95594098;66,82948073;9,616065025;42,34781265;30,94937134;48,03609085;13,05840874;6,579388618
Argentina;1990;-503,3333333;-8,967486663;32,4207077;80,06666667;0,116233677;13,99698162;19,72519875;12,5780559;12,21167484;1850;23452,0293;12,67677021;1,29887414;0,024692042;6,426914215;4,285203934;28,5;3,507961512;44,40000153;0,002893486;2063,327393;0,523117023;5,01E-05;0,002829815;128,2856605;445,4187927;6,54951654;106,3058472;71,10298157;35,24436281;8,355899811;3,014520672;-17,67961597;56,30038156;25,24790482;4,666054603;2,566396337;1308,838867;0;93,50662231;10,35953617;4,631322384;0,400000006;31,60000038;67,59999847;8,1236763;36,0218811;26,78970528;55,85444641;0,400000006;31,60000038;67,59999847;8,1236763;36,0218811;26,78970528;55,85444641;10,35953617;4,631322384
Argentina;1991;-499,0666667;-11,44056731;22,79903603;78,4;0,105927624;14,6369772;16,23401451;14,80612293;14,15360202;1856,218628;25565,9707;13,77315044;1,28565228;0,026032319;6,074376583;3,218957901;28,5;2,381954908;45,20000076;0,002213789;1345,94104;0,485494013;4,55E-05;0,00210837;175,6755045;294,4217529;7,086222495;109,5821915;73,62000275;38,61916733;8,247559822;2,952278822;-17,60297687;54,29999924;27,60000038;6,599999905;1,090669751;1352,616577;0;95,77082062;7,675043106;6,078011036;0,300000012;32,70000076;66,19999695;6,716491699;32,72252655;24,38644981;60,56119919;0,300000012;32,70000076;66,19999695;6,716491699;32,72252655;24,38644981;60,56119919;7,675043106;6,078011036
Argentina;1992;-522,9333333;-12,23142172;22,47857857;76,6;0,11848399;16,70240593;15,16780376;16,25286281;15,2083551;1862,458008;27877,60938;14,9681797;1,936797261;0,509625614;7,126038074;3,20465827;28,5;2,582850456;44,70000076;0,001241373;1117,688843;0,598574843;4,57E-05;0,002491487;130,3239605;317,124939;7,135564327;109,7565129;74,47726969;39,53926633;8,566260973;3,457397471;-16,76114065;52,59999847;27,89999962;6,300000191;1,228390574;1415,300293;0,00299;108,9742279;6,598187447;8,132793427;0,400000006;32,09999847;66,69999695;5,990787029;30,68395424;21,85913086;63,3252182;0,400000006;32,09999847;66,69999695;5,990787029;30,68395424;21,85913086;63,3252182;6,598187447;8,132793427
Argentina;1993;-522,4666667;-12,94908525;25,99353409;77,6;0,126296192;19,05643463;16,65197945;19,05643463;17,3628788;1868,718506;29555,56055;15,81595039;1,17973876;0,297806293;7,822583675;3,415199757;28,60000038;2,459604502;44,43161774;0,001350769;1112,786499;0,708649566;4,68E-05;0,00293976;111,3831371;314,4632568;5,734974861;108,3670125;76,31007773;41,73979121;8,274587208;3,224943144;-18,19985649;49,70000076;33,29999924;8,100000381;1,620261908;1501,451294;0,0295;120,8966522;6,909351826;9,313799858;0,5;29,5;69,30000305;5,492024899;29,22914314;19,50115585;65,27882385;0,5;29,5;69,30000305;5,492024899;29,22914314;19,50115585;65,27882385;6,909351826;9,313799858
Argentina;1994;-518,0666667;-8,265513888;26,57876778;77,13333333;0,145246595;19,9389782;16,86075783;19,9389782;18,16183853;1875;31390,01953;16,74134064;1,410552859;0,393038988;8,703313828;3,550114155;28,70000076;2,899161339;45;0,001463254;1452,989746;0,932393618;5,09E-05;0,003379428;110,3935426;394,8395691;4,252413273;111,4242989;80,40491665;45,98996154;8,475595035;5,323333542;-17,04427956;56,5;28,29999924;3,900000095;1,809742332;1531,048584;0,043699998;152,3312683;7,521831989;10,60004807;0,5;28,5;70,5;5,440196514;28,63654518;19,07253456;65,92325592;0,5;28,5;70,5;5,440196514;28,63654518;19,07253456;65,92325592;7,521831989;10,60004807
